L,V,E,proba
0.0001,5.644444444444444,0.1,0.9999984070236825
0.0001,11.188888888888888,0.1,0.9999937404814594
0.0001,16.733333333333334,0.1,0.9999859999752165
0.0001,22.27777777777778,0.1,0.999975185645207
0.0001,27.822222222222223,0.1,0.9999612976901019
0.0001,33.36666666666667,0.1,0.9999443363655434
0.0001,38.91111111111111,0.1,0.999924301983926
0.0001,44.455555555555556,0.1,0.999901194914327
0.0001,50.0,0.1,0.999875015582474
0.0001,5.644444444444444,1.2000000000000002,0.9999998685266327
0.0001,11.188888888888888,1.2000000000000002,0.9999994790135883
0.0001,16.733333333333334,1.2000000000000002,0.9999988337463331
0.0001,22.27777777777778,1.2000000000000002,0.9999979324130818
0.0001,27.822222222222223,1.2000000000000002,0.9999967749517422
0.0001,33.36666666666667,1.2000000000000002,0.9999953613427881
0.0001,38.91111111111111,1.2000000000000002,0.9999936915792147
0.0001,44.455555555555556,1.2000000000000002,0.9999917656589744
0.0001,50.0,1.2000000000000002,0.9999895835824472
0.0001,5.644444444444444,2.3000000000000003,0.9999999354256939
0.0001,11.188888888888888,2.3000000000000003,0.9999997302091512
0.0001,16.733333333333334,2.3000000000000003,0.9999993928756734
0.0001,22.27777777777778,2.3000000000000003,0.9999989222765979
0.0001,27.822222222222223,2.3000000000000003,0.9999983181792008
0.0001,33.36666666666667,2.3000000000000003,0.9999975805057895
0.0001,38.91111111111111,2.3000000000000003,0.9999967092233285
0.0001,44.455555555555556,2.3000000000000003,0.9999957043156575
0.0001,50.0,2.3000000000000003,0.9999945657741941
0.0001,5.644444444444444,3.4000000000000004,0.9999999633875802
0.0001,11.188888888888888,3.4000000000000004,0.999999821061105
0.0001,16.733333333333334,3.4000000000000004,0.9999995916830717
0.0001,22.27777777777778,3.4000000000000004,0.9999992727429179
0.0001,27.822222222222223,3.4000000000000004,0.9999988637314504
0.0001,33.36666666666667,3.4000000000000004,0.9999983644780799
0.0001,38.91111111111111,3.4000000000000004,0.9999977749096144
